location,lat,long,Continent
Chattogram,22.333778,91.8344348,
Dhaka,23.7702548,90.3584402,
Dinajpur,25.6986968,88.6647208,
Feni,22.9687507,91.4137685,
Gazipur,24.1029221,90.4487753,
Khulna,22.7733307,89.4650078,
Magura,23.4149807,89.4028783,
Munshiganj,23.547309,90.3203023,
Mymensingh,24.6541656,90.3975974,
Narail,23.1416161,89.5577717,
Narayanganj,23.74218,90.5895759,
Noakhali,22.8009971,91.1267919,
Pabna,24.0819745,89.354902,
Lalmonirhat,26.3457861,89.0208507,
Rajshahi,24.4627663,88.6455934,
Rangpur,25.666741,89.243656,
Satkhira,22.5917995,89.098007,
Sirajganj,24.3755256,89.5764725,
Sunamganj,24.9304952,91.3818666,
Sylhet,24.9563529,91.988576,
Tangail,24.3571938,90.0036093,
Dhaka,23.7702548,90.3584402,
Bagerhat,22.5913803,89.7644441,
Bandarban,21.7891843,92.4097111,
Barguna,22.1262274,90.2728084,
Barisal,22.9229227,90.1726866,
Bhola,22.4199164,90.7647866,
Brahmanbaria,23.9508104,91.1038879,
Chittagong,22.2978515,91.9987133,
Dinajpur,25.6986968,88.6647208,
Feni,22.9687507,91.4137685,
Gazipur,24.1029221,90.4487753,
Noakhali,22.8009971,91.1267919,
Jamalpur,24.9281506,89.7953394,
Khulna,22.7733307,89.4650078,
Kishoreganj,24.3847481,90.9508725,
Kushtia,23.9075417,88.9944523,
Netrokona,24.9638449,90.7719443,
Madaripur,23.2059989,90.1472957,
Magura,23.4149807,89.4028783,
Manikganj,23.8401924,89.9477425,
Narayanganj,23.74218,90.5895759,
Pabna,24.0819745,89.354902,
Panchagarh,26.2774966,88.5759585,
Rajshahi,24.4627663,88.6455934,
Rangamati,22.7561535,92.2514584,
Satkhira,22.5917995,89.098007,
Sunamganj,24.9304952,91.3818666,
Sylhet,24.9563529,91.988576,
Tangail,24.3571938,90.0036093,
