Year,Word,Frequency,Raw Frequency
2021,owner,44,11
2021,agency,44,11
2021,roof,44,11
2021,buildings,44,11
2021,square,44,11
2021,reuters,44,11
2021,relatives,44,11
2021,safe,44,11
2021,camps,44,11
2021,board,44,11
2021,flee,44,11
2021,continue,44,11
2021,stop,44,11
2021,big,44,11
2021,running,44,11
2021,money,44,11
2021,june,44,11
2021,responsibility,44,11
2021,improve,44,11
2021,room,44,11
2021,island,44,11
2021,job,44,11
2021,access,44,11
2021,services,44,11
2021,statement,44,11
2021,shelters,44,11
2021,justice,44,11
2021,measures,44,11
2021,order,44,11
2021,victory,44,11
2021,possible,44,11
2021,held,44,11
2021,follow,44,11
2021,hold,44,11
2021,improvements,44,11
2021,use,44,11
2021,form,44,11
2021,total,44,11
2021,fow,44,11
2021,shot,44,11
2021,starts,44,11
2021,wide,44,11
2021,particularly,44,11
2021,appeal,44,11
2021,cuts,44,11
2021,result,44,11
2021,saw,44,11
2021,mosque,44,11
2021,different,44,11
2021,victims,44,11
2021,region,44,11
2021,drowned,44,11
2021,capacity,44,11
2021,disasters,44,11
2021,union,44,11
2021,higher,44,11
2021,supply,44,11
2021,amphan,44,11
2021,company,44,11
2021,afternoon,40,10
2021,floor,40,10
2021,hashem,40,10
2021,deputy,40,10
2021,bring,40,10
2021,locked,40,10
2021,rescued,40,10
2021,investigation,40,10
2021,following,40,10
2021,phone,40,10
2021,malaysia,40,10
2021,fleeing,40,10
2021,sexual,40,10
2021,asked,40,10
2021,taka,40,10
2021,respond,40,10
2021,journey,40,10
2021,doesnt,40,10
2021,miles,40,10
2021,close,40,10
2021,didnt,40,10
2021,works,40,10
2021,society,40,10
2021,turned,40,10
2021,problems,40,10
2021,minority,40,10
2021,october,40,10
2021,majority,40,10
2021,carried,40,10
2021,dozen,40,10
2021,natural,40,10
2021,nation,40,10
2021,khan,40,10
2015,dhaka,696,419
2015,people,650,391
2015,police,623,375
2015,government,440,265
2015,death,414,249
2015,bloggers,384,231
2015,roy,351,211
2015,bangladeshi,346,208
2015,group,346,208
2015,killed,342,206
2015,country,319,192
2015,men,316,190
2015,blogger,312,188
2015,attack,312,188
2015,secular,302,182
2015,attacks,296,178
2015,bangladeshs,296,178
2015,war,294,177
2015,party,287,173
2015,islamic,281,169
2015,years,277,167
2015,rahman,263,158
2015,arrested,259,156
2015,islam,254,153
2015,killing,253,152
2015,minister,246,148
2015,women,236,142
2015,islamist,203,122
2015,political,199,120
2015,home,198,119
2015,hasina,193,116
2015,independence,193,116
2015,opposition,191,115
2015,prime,186,112
2015,capital,183,110
2015,million,183,110
2015,groups,183,110
2015,state,181,109
2015,murder,181,109
2015,india,181,109
2015,countrys,178,107
2015,religious,176,106
2015,pakistan,173,104
2015,sheikh,173,104
2015,violence,169,102
2015,security,169,102
2015,local,166,100
2015,jamaateislami,164,99
2015,leader,163,98
2015,authorities,161,97
2015,killings,158,95
2015,members,153,92
2015,just,151,91
2015,avijit,151,91
2015,world,150,90
2015,leaders,150,90
2015,zia,150,90
2015,crimes,146,88
2015,officials,145,87
2015,man,145,87
2015,monday,141,85
2015,atheist,141,85
2015,recent,140,84
2015,court,138,83
2015,left,135,81
2015,official,131,79
2015,indian,131,79
2015,claimed,130,78
2015,work,130,78
2015,family,130,78
2015,mohiuddin,130,78
2015,team,130,78
2015,social,128,77
2015,workers,126,76
2015,charges,125,75
2015,writers,123,74
2015,set,121,73
2015,international,121,73
2015,saturday,118,71
2015,responsibility,116,70
2015,khan,116,70
2015,factory,115,69
2015,days,115,69
2015,activists,113,68
2015,media,110,66
2015,hacked,110,66
2015,later,110,66
2015,months,110,66
2015,wife,110,66
2015,muslim,106,64
2015,young,106,64
2015,book,106,64
2015,rights,105,63
2015,outside,105,63
2015,attacked,105,63
2015,office,105,63
2015,saying,103,62
2015,ahmed,103,62
2015,died,101,61
2015,series,101,61
2015,children,101,61
2015,university,100,60
2015,das,100,60
2015,suspected,100,60
2015,city,98,59
2015,garment,98,59
2015,ago,98,59
2015,national,98,59
2015,want,96,58
2015,movement,96,58
2015,british,96,58
2015,good,95,57
2015,wrote,95,57
2015,senior,95,57
2015,law,95,57
2015,power,95,57
2015,general,93,56
2015,students,93,56
2015,militant,93,56
2015,south,93,56
2015,ms,93,56
2015,dont,91,55
2015,used,91,55
2015,attackers,90,54
2015,began,90,54
2015,free,90,54
2015,second,90,54
2015,rana,90,54
2015,took,88,53
2015,religion,88,53
2015,protests,88,53
2015,yearold,88,53
2015,head,88,53
2015,leaving,88,53
2015,february,86,52
2015,trying,86,52
2015,hospital,85,51
2015,came,85,51
2015,countries,85,51
2015,threats,85,51
2015,number,83,50
2015,facebook,83,50
2015,news,83,50
2015,pakistani,83,50
2015,face,81,49
2015,father,81,49
2015,haider,81,49
2015,past,81,49
2015,islamists,81,49
2015,site,80,48
2015,fair,78,47
2015,victims,78,47
2015,trial,78,47
2015,qamaruzzaman,78,47
2015,injured,76,46
2015,mohammad,76,46
2015,machetes,76,46
2015,seen,76,46
2015,long,76,46
2015,execution,76,46
2015,worker,76,46
2015,factories,75,45
2015,hossain,75,45
2015,place,75,45
2015,building,75,45
2015,deaths,75,45
2015,justice,75,45
2015,hours,75,45
2015,carried,75,45
2015,ball,75,45
2015,united,75,45
2015,khaleda,75,45
2015,bnp,75,45
2015,industry,75,45
2015,citizen,75,45
2015,prison,75,45
2015,intelligence,75,45
2015,person,73,44
2015,child,73,44
2015,school,73,44
2015,near,73,44
2015,nearly,73,44
2015,bangla,73,44
2015,known,73,44
2015,lives,71,43
2015,murdered,71,43
2015,human,71,43
2015,case,71,43
2015,cricket,71,43
2015,night,71,43
2015,italian,71,43
2015,foreigners,71,43
2015,marriage,71,43
2015,early,70,42
2015,writer,70,42
2015,th,70,42
2015,online,70,42
2015,bangladeshis,70,42
2015,plaza,70,42
2015,secretary,70,42
2015,believed,68,41
2015,inside,68,41
2015,dhakas,68,41
2015,shot,68,41
2015,life,68,41
2015,living,68,41
2015,suspects,68,41
2015,supporters,68,41
2015,threat,68,41
2015,shahbag,68,41
2015,mosque,68,41
2015,army,66,40
2015,working,66,40
2015,know,66,40
2015,community,66,40
2015,end,66,40
2015,england,66,40
2015,public,66,40
2015,aid,66,40
2015,process,66,40
2015,accused,66,40
2015,muslims,66,40
2015,thursday,65,39
2015,district,65,39
2015,development,65,39
2015,central,65,39
2015,charged,65,39
2015,extremist,65,39
2015,foreign,65,39
2015,nationalist,65,39
2015,militants,65,39
2015,think,63,38
2015,asked,63,38
2015,assailants,63,38
2015,similar,63,38
2015,thousands,63,38
2015,street,63,38
2015,weeks,63,38
2015,high,63,38
2015,continue,63,38
2015,started,63,38
2015,murders,63,38
2015,ansarullah,63,38
2015,given,63,38
2015,collapse,61,37
2015,led,61,37
2015,commissioner,61,37
2015,published,61,37
2015,bijoy,61,37
2015,convicted,61,37
2015,action,61,37
2015,forced,61,37
2015,domestic,61,37
2015,followed,61,37
2015,chief,61,37
2015,small,61,37
2015,large,61,37
2015,tried,61,37
2015,roys,61,37
2015,awami,61,37
2015,league,61,37
2015,citizens,61,37
2015,cup,60,36
2015,following,60,36
2015,held,60,36
2015,banned,60,36
2015,friday,60,36
2015,disaster,60,36
2015,tribunals,60,36
2015,targeted,60,36
2015,election,60,36
2015,calling,60,36
2015,dead,58,35
2015,safety,58,35
2015,making,58,35
2015,list,58,35
2015,march,58,35
2015,parties,58,35
2015,run,58,35
2015,tribunal,58,35
2015,far,58,35
2015,received,58,35
2015,going,58,35
2015,states,58,35
2015,western,58,35
2015,ananta,58,35
2015,press,58,35
2015,trials,58,35
2015,hit,56,34
2015,try,56,34
2015,kill,56,34
2015,statement,56,34
2015,away,56,34
2015,described,56,34
2015,protest,56,34
2015,extremism,56,34
2015,evening,55,33
2015,little,55,33
2015,subcontinent,55,33
2015,american,55,33
2015,posted,55,33
2015,taken,55,33
2015,report,55,33
2015,right,55,33
2015,friends,55,33
2015,clear,55,33
2015,saw,55,33
2015,reported,55,33
2015,campaign,55,33
2015,bengali,55,33
2015,largest,55,33
2015,final,55,33
2015,arrest,55,33
2015,jail,55,33
2015,information,55,33
2015,east,55,33
2015,asian,53,32
2015,sunday,53,32
2015,chittagong,53,32
2015,late,53,32
2015,sarkar,53,32
2015,farabi,53,32
2015,refused,53,32
2015,military,53,32
2015,isis,53,32
2015,using,52,31
2015,open,52,31
2015,spokesman,52,31
2015,sylhet,52,31
2015,earlier,52,31
2015,seven,52,31
2015,conditions,52,31
2015,governments,52,31
2015,went,52,31
2015,protect,52,31
2015,shiite,52,31
2015,added,52,31
2015,comes,52,31
2015,muktomona,52,31
2015,enclaves,52,31
2015,rally,52,31
2015,population,50,30
2015,area,50,30
2015,extremists,50,30
2015,blog,50,30
2015,wanted,50,30
2015,freedom,50,30
2015,rajib,50,30
2015,turned,50,30
2015,families,50,30
2015,money,50,30
2015,website,50,30
2015,got,50,30
2015,hindu,50,30
2015,mahmudullah,50,30
2015,north,50,30
2015,threatened,50,30
2015,streets,50,30
2015,seek,50,30
2015,hasinas,50,30
2015,need,48,29
2015,claims,48,29
2015,publishers,48,29
2015,sentenced,48,29
2015,girls,48,29
2015,ground,48,29
2015,close,48,29
2015,nation,48,29
2015,hundreds,48,29
2015,health,48,29
2015,claim,48,29
2015,branch,48,29
2015,major,48,29
2015,scene,48,29
2015,elections,48,29
2015,assistant,48,29
2015,fund,47,28
2015,january,47,28
2015,books,47,28
2015,house,47,28
2015,friend,47,28
2015,reporters,47,28
2015,project,47,28
2015,society,47,28
2015,village,47,28
2015,stop,47,28
2015,australia,47,28
2015,main,47,28
2015,pressure,47,28
2015,legal,47,28
2015,special,47,28
2015,asia,47,28
